sentence #,word,tag
sentence 1,Đồng_thời,O
sentence 1,",",O
sentence 1,bệnh_viện,O
sentence 1,tiếp_tục,O
sentence 1,thực_hiện,O
sentence 1,các,O
sentence 1,biện_pháp,O
sentence 1,phòng_chống,O
sentence 1,dịch_bệnh,O
sentence 1,COVID,O
sentence 1,-,O
sentence 1,19,O
sentence 1,theo,O
sentence 1,hướng_dẫn,O
sentence 1,của,O
sentence 1,Bộ,B-ORGANIZATION
sentence 1,Y_tế,I-ORGANIZATION
sentence 1,.,O
sentence 2,"""",O
sentence 2,Số,O
sentence 2,bệnh_viện,O
sentence 2,có_thể,O
sentence 2,tiếp_nhận,O
sentence 2,bệnh_nhân,O
sentence 2,bị,O
sentence 2,sốt,B-SYMPTOM_AND_DISEASE
sentence 2,cao,I-SYMPTOM_AND_DISEASE
sentence 2,và,O
sentence 2,khó,B-SYMPTOM_AND_DISEASE
sentence 2,thở,I-SYMPTOM_AND_DISEASE
sentence 2,đang,O
sentence 2,giảm,O
sentence 2,dần,O
sentence 2,"""",O
sentence 2,",",O
sentence 2,thông_cáo,O
sentence 2,có,O
sentence 2,đoạn,O
sentence 2,",",O
sentence 2,cảnh_báo,O
sentence 2,những,O
sentence 2,bệnh_nhân,O
sentence 2,này,O
sentence 2,thay,O
sentence 2,vào,O
sentence 2,đó,O
sentence 2,được,O
sentence 2,chuyển,O
sentence 2,tới,O
sentence 2,các,O
sentence 2,phòng_khám,O
sentence 2,khẩn_cấp,O
sentence 2,",",O
sentence 2,khiến,O
sentence 2,những,O
sentence 2,bệnh_nhân,O
sentence 2,mắc,O
sentence 2,bệnh,O
sentence 2,hiểm_nghèo,O
sentence 2,khác,O
sentence 2,không,O
sentence 2,có,O
sentence 2,cơ_hội,O
sentence 2,được,O
sentence 2,điều_trị,O
sentence 2,.,O
sentence 3,Ngoài_ra,O
sentence 3,",",O
sentence 3,những,O
sentence 3,người,O
sentence 3,tiếp_xúc,O
sentence 3,gián_tiếp,O
sentence 3,(,O
sentence 3,đã,O
sentence 3,gặp,O
sentence 3,những,O
sentence 3,người,O
sentence 3,tiếp_xúc,O
sentence 3,gần,O
sentence 3,với,O
sentence 3,bệnh_nhân,O
sentence 3,),O
sentence 3,được,O
sentence 3,lập,O
sentence 3,danh_sách,O
sentence 3,và,O
sentence 3,yêu_cầu,O
sentence 3,cách_ly,O
sentence 3,y_tế,O
sentence 3,tại,O
sentence 3,nơi,O
sentence 3,ở,O
sentence 3,.,O
sentence 4,Bà,O
sentence 4,này,O
sentence 4,khi,O
sentence 4,trở,O
sentence 4,về,O
sentence 4,quá_cảnh,O
sentence 4,Doha,B-LOCATION
sentence 4,(,O
sentence 4,Qatar,B-LOCATION
sentence 4,),O
sentence 4,",",O
sentence 4,đáp,O
sentence 4,xuống,O
sentence 4,Tân_Sơn_Nhất,B-LOCATION
sentence 4,sáng,O
sentence 4,2/3,B-DATE
sentence 4,cùng,O
sentence 4,75,O
sentence 4,hành_khách,O
sentence 4,",",O
sentence 4,trong,O
sentence 4,đó,O
sentence 4,có,O
sentence 4,55,O
sentence 4,người,O
sentence 4,nước_ngoài,O
sentence 4,.,O
sentence 5,"""",O
sentence 5,Bệnh_nhân,O
sentence 5,523,B-PATIENT_ID
sentence 5,"""",O
sentence 5,và,O
sentence 5,chồng,O
sentence 5,là,O
sentence 5,"""",O
sentence 5,bệnh_nhân,O
sentence 5,522,B-PATIENT_ID
sentence 5,"""",O
sentence 5,",",O
sentence 5,67,B-AGE
sentence 5,tuổi,O
sentence 5,",",O
sentence 5,được,O
sentence 5,Bộ,B-ORGANIZATION
sentence 5,Y_tế,I-ORGANIZATION
sentence 5,ghi_nhận,O
sentence 5,nhiễm,O
sentence 5,nCoV,O
sentence 5,hôm,O
sentence 5,31/7,B-DATE
sentence 5,.,O
sentence 6,Trường_hợp,O
sentence 6,bệnh_nhân,O
sentence 6,188,B-PATIENT_ID
sentence 6,L.T.H.,B-NAME
sentence 6,",",O
sentence 6,theo,O
sentence 6,thông_tin,O
sentence 6,từ,O
sentence 6,cơ_quan,O
sentence 6,y_tế,O
sentence 6,địa_phương,O
sentence 6,",",O
sentence 6,bệnh_nhân,O
sentence 6,về,O
sentence 6,nhà,O
sentence 6,ngày,O
sentence 6,14,B-DATE
sentence 6,-,I-DATE
sentence 6,4,I-DATE
sentence 6,và,O
sentence 6,từ,O
sentence 6,đó,O
sentence 6,chỉ,O
sentence 6,tiếp_xúc,O
sentence 6,với,O
sentence 6,chồng,O
sentence 6,và,O
sentence 6,con,O
sentence 6,",",O
sentence 6,đây,O
sentence 6,không,O
sentence 6,phải,O
sentence 6,là,O
sentence 6,tái_nhiễm,O
sentence 6,mà,O
sentence 6,do,O
sentence 6,có_thể,O
sentence 6,virus,O
sentence 6,yếu,O
sentence 6,ở,O
sentence 6,thời_điểm,O
sentence 6,lấy,O
sentence 6,mẫu,O
sentence 6,lần,O
sentence 6,trước,O
sentence 6,",",O
sentence 6,hoặc,O
sentence 6,vị_trí,O
sentence 6,lấy,O
sentence 6,mẫu,O
sentence 6,",",O
sentence 6,thời_điểm,O
sentence 6,lấy,O
sentence 6,mẫu,O
sentence 6,dẫn,O
sentence 6,đến,O
sentence 6,âm_tính,O
sentence 6,giả,O
sentence 6,.,O
sentence 7,Riêng,O
sentence 7,bệnh_nhân,O
sentence 7,91,B-PATIENT_ID
sentence 7,là,O
sentence 7,phi_công,B-JOB
sentence 7,người,O
sentence 7,Anh,O
sentence 7,ngụ,O
sentence 7,ở,O
sentence 7,quận,B-LOCATION
sentence 7,2,I-LOCATION
sentence 7,",",O
sentence 7,TP.,B-LOCATION
sentence 7,HCM,I-LOCATION
sentence 7,và,O
sentence 7,có,O
sentence 7,liên_quan,O
sentence 7,ổ,O
sentence 7,dịch,O
sentence 7,quán,B-LOCATION
sentence 7,bar,I-LOCATION
sentence 7,Buddha,I-LOCATION
sentence 7,",",O
sentence 7,thông_tin,O
sentence 7,cập_nhật,O
sentence 7,ngày,O
sentence 7,10,B-DATE
sentence 7,-,I-DATE
sentence 7,4,I-DATE
sentence 7,cho,O
sentence 7,biết,O
sentence 7,diễn_biến,O
sentence 7,bệnh,O
sentence 7,của,O
sentence 7,bệnh_nhân,O
sentence 7,không,O
sentence 7,xấu,O
sentence 7,hơn,O
sentence 7,nhưng,O
sentence 7,cũng,O
sentence 7,chưa,O
sentence 7,có,O
sentence 7,dấu_hiệu,O
sentence 7,hồi_phục,O
sentence 7,.,O
sentence 8,Bệnh_nhân,O
sentence 8,đã,O
sentence 8,được,O
sentence 8,xét_nghiệm,O
sentence 8,có,O
sentence 8,3,O
sentence 8,kết_quả,O
sentence 8,âm_tính,O
sentence 8,vào,O
sentence 8,các,O
sentence 8,ngày,O
sentence 8,19,B-DATE
sentence 8,",",O
sentence 8,21,B-DATE
sentence 8,và,O
sentence 8,23,B-DATE
sentence 8,-,I-DATE
sentence 8,8,I-DATE
sentence 8,.,O
sentence 9,Bà,O
sentence 9,đã,O
sentence 9,tiếp_xúc,O
sentence 9,với,O
sentence 9,người_thân,O
sentence 9,xác_định,O
sentence 9,mắc,O
sentence 9,Covid,O
sentence 9,-,O
sentence 9,19,O
sentence 9,trước,O
sentence 9,khi,O
sentence 9,về,O
sentence 9,Việt_Nam,B-LOCATION
sentence 9,.,O
sentence 10,Chiều,O
sentence 10,22,B-DATE
sentence 10,-,I-DATE
sentence 10,4,I-DATE
sentence 10,",",O
sentence 10,bệnh_nhân,O
sentence 10,được,O
sentence 10,cho,O
sentence 10,về,O
sentence 10,theo_dõi,O
sentence 10,cách_ly,O
sentence 10,tại,O
sentence 10,nhà,O
sentence 10,.,O
sentence 11,Hôm_qua,O
sentence 11,",",O
sentence 11,hai,O
sentence 11,bệnh_nhân,O
sentence 11,Covid,O
sentence 11,-,O
sentence 11,19,O
sentence 11,cũng,O
sentence 11,tử_vong,O
sentence 11,",",O
sentence 11,có,O
sentence 11,bệnh,O
sentence 11,nền,O
sentence 11,suy,B-SYMPTOM_AND_DISEASE
sentence 11,thận,I-SYMPTOM_AND_DISEASE
sentence 11,mạn,I-SYMPTOM_AND_DISEASE
sentence 11,.,O
sentence 12,8h,O
sentence 12,ngày,O
sentence 12,1,B-DATE
sentence 12,-,I-DATE
sentence 12,8,I-DATE
sentence 12,",",O
sentence 12,bệnh_nhân,O
sentence 12,861,B-PATIENT_ID
sentence 12,chở,O
sentence 12,con,O
sentence 12,gái,O
sentence 12,đến,O
sentence 12,khám,O
sentence 12,tại,O
sentence 12,phòng_khám,B-LOCATION
sentence 12,đa_khoa,I-LOCATION
sentence 12,của,I-LOCATION
sentence 12,bác_sĩ,I-LOCATION
sentence 12,Hoàng_Đức_Dũng,I-LOCATION
sentence 12,(,O
sentence 12,số,O
sentence 12,16,B-LOCATION
sentence 12,-,I-LOCATION
sentence 12,18,I-LOCATION
sentence 12,B,I-LOCATION
sentence 12,-,I-LOCATION
sentence 12,22,I-LOCATION
sentence 12,đường,I-LOCATION
